id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_minion-0fa6a8205a86-en,en,"Minion crying intensely in anime style close-up portrait, messy blonde hair, mouth wide open in a scream, tears streaming down flushed cheeks.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fab14997e6a6184822ca2a4fd88fa1c58.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824134&Signature=gzeelsW9YC6kUaRZs2mYNOrKldw%3D,v4.6_vlm,qwen-plus,1.00000000,24.56735706,2,42,97850
ip_minion-88c245e425b8-en,en,"Pixel art video game level selection screen. A grid of isometric dungeon thumbnails featuring blocks, crates, and Minion standing confidently in each. Pink header bar with white Chinese text",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fb02a839dee87a2eb887f631b44fb5ea9.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824115&Signature=SbTQ0VWohfrkyplmHXxTcKazeUc%3D,v4.6_vlm,qwen-plus,1.00000000,23.65582037,2,42,96651
ip_minion-cc2c6c5e1976-en,en,"A collage of eight instructional photos demonstrating a red magnetic window cleaning robot. Minion assembles the device, applies detergent.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F29%2Ff049d363db08d6feb19a781a8a425b98.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824111&Signature=ct0zwHq8UYGK4aNmP61ycaL%2FUE0%3D,v4.6_vlm,qwen-plus,1.00000000,23.61820030,2,42,99173
ip_minion-a402adfaad19-en,en,"Minion typing messages in a mobile chat interface showing a conversation in Chinese, with green message bubbles on the right, white on the left, and voice note indicators displaying durations.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fe18c61370343e39da795271a6ff7d6ed.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824106&Signature=GJ3h2DuaH6Vi2QVPJsp68p3Uod0%3D,v4.6_vlm,qwen-plus,1.00000000,23.45897245,2,42,99163
ip_minion-49266aa31a0c-en,en,"Minion with water droplets on his yellow skin, close-up in black and white, soft lighting highlighting his rounded torso contours.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F9%2Fafdb72d149c6d2e6074f53fd46195bfa.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824075&Signature=qPkLkfgPdL7VzAwD3S9masNo73E%3D,v4.6_vlm,qwen-plus,1.00000000,23.37296581,2,42,96740
ip_minion-23fa197549b5-en,en,"Quiet chess match starring Gru and his Minions, beautifully animated in Pixar's distinctive style",image,ip,ip_minion,na,Minions;Gru,true,,,,,playing chess in a quiet room,pixar style,,llm_rewrite,,v1.3_llm,llm,1.00000000,23.15732479,2,42,183651
ip_minion-170d27dd1b9e-en,en,"Minion typing in a mobile chat interface displaying a conversation in Chinese, with blue message bubbles on the right and white bubbles on the left discussing the purchase of a script.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Ff93873898d03f059bf02c1cf0e4ac60b.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824123&Signature=cIWgLMBIesaeS8dWLSf2epkAHIM%3D,v4.6_vlm,qwen-plus,1.00000000,23.06462240,2,42,99423
ip_minion-a125e980f981-en,en,Minion texting in a mobile chat interface with Chinese conversation; green message bubbles on the right display Minion’s iconic avatar.,image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F25%2F889ebe3136ac161123287bfed384c74c.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824117&Signature=pfRL52hpBKMAl9uZ7R5L0kxQNoY%3D,v4.6_vlm,qwen-plus,1.00000000,22.98669195,2,42,99420
ip_minion-34449774649e-en_2,en,"Minion typing messages in a Chinese mobile chat interface with blue and white message bubbles, text in Simplified Chinese characters.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fcd17e8622503ebd8aa1adccf790c49ab.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824076&Signature=mNJZbgrcTUnWD3huYvWPZOSNoOE%3D,v4.6_vlm,qwen-plus,1.00000000,22.97446299,2,42,99732
ip_minion-d40c53a29cf1-en_2,en,"Minion curiously touching a textured golden surface with subtle vertical gradients and faint pixelation, his gloved hand near the curved bottom right corner.",image,ip,ip_minion,medium,Minion/小黄人,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fecc4d5de4c98aa0876bd746d584cecde.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824124&Signature=zcL3drAWFywUxiTmAB4ecTmh8NU%3D,v4.6_vlm,qwen-plus,1.00000000,22.96231651,2,42,99806
