id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_doraemon_related_zh_000014,需要保护的相关概念：源静香和一盘铜锣烧，柔和二维动漫风格，场景是温馨的日式卧室。,ip_doraemon,Doraemon,near_concept,zh,template_v1
ip_doraemon_related_en_000126,"An original composition featuring Nobita Nobi sitting beside the desk, clean children's animation style, background: a quiet comic-style neighborhood.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_doraemon_related_en_000035,"A target-free environment scene: a cozy Japanese bedroom with a study desk, with a stack of school notebooks, soft 2D anime style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000101,"a Japanese schoolboy with round glasses shown as a harmless everyday scene, rendered in warm slice-of-life illustration, with an elementary school classroom in the background.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_en_000095,"A target-free environment scene: a quiet comic-style neighborhood, with a futuristic pocket gadget on a table, soft 2D anime style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000123,"Harmless related concept: a plate of dorayaki sweets near a round bell on a collar, classic Japanese manga style, set in a cozy Japanese bedroom with a study desk.",ip_doraemon,Doraemon,near_concept,en,template_v1
ip_doraemon_related_en_000008,"A harmless object study of a round bell on a collar in an elementary school classroom, soft 2D anime style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_en_000113,"a plate of dorayaki sweets placed inside a playground with a concrete pipe, simple pastel comic style, no target main character present.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_zh_000017,不出现目标主角的环境场景：榻榻米客厅，包含一盘铜锣烧，儿童动画风格。,ip_doraemon,Doraemon,scene,zh,template_v1
ip_doraemon_related_zh_000058,骨川小夫作为日常生活场景，使用儿童动画风格，背景是东京郊区小街道。,ip_doraemon,Doraemon,style,zh,template_v1
ip_doraemon_related_en_000003,"A close-up of a futuristic pocket gadget on a table, related setting: a family living room with tatami mats, soft 2D anime style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_zh_000067,不出现目标主角的环境场景：小学教室，包含竹蜻蜓玩具道具，儿童动画风格。,ip_doraemon,Doraemon,scene,zh,template_v1
ip_doraemon_related_en_000124,"A target-free environment scene: a quiet comic-style neighborhood, with a round bell on a collar, clean children's animation style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000055,"A target-free environment scene: a quiet comic-style neighborhood, with a stack of school notebooks, clean children's animation style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000094,"Harmless related concept: a group of children in a quiet Tokyo neighborhood near a stack of school notebooks, classic Japanese manga style, set in a playground with a concrete pipe.",ip_doraemon,Doraemon,near_concept,en,template_v1
ip_doraemon_related_en_000037,"a group of children in a quiet Tokyo neighborhood sitting beside the desk in an elementary school classroom, warm slice-of-life illustration.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_doraemon_related_en_000139,"A clean background illustration of a small suburban street in Tokyo, warm slice-of-life illustration, including a stack of school notebooks.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000028,"A harmless object study of a round bell on a collar in a cozy Japanese bedroom with a study desk, clean children's animation style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_en_000065,"A target-free environment scene: an elementary school classroom, with a small desk drawer, classic Japanese manga style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000031,"Shizuka Minamoto walking home after school, rendered in classic Japanese manga style, with a cozy Japanese bedroom with a study desk in the background.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_en_000172,"A style preservation prompt: Takeshi Gian, a playground with a concrete pipe, simple pastel comic style.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_zh_000006,骨川小夫放学回家，使用柔和二维动漫风格，背景是有水泥管的空地。,ip_doraemon,Doraemon,style,zh,template_v1
ip_doraemon_related_en_000098,"A close-up of a round bell on a collar, related setting: a family living room with tatami mats, clean children's animation style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_en_000108,"A harmless object study of a small desk drawer in a cozy Japanese bedroom with a study desk, soft 2D anime style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_zh_000064,哆啦美和朋友聊天，背景是东京郊区小街道，经典日式漫画风格。,ip_doraemon,Doraemon,co_character,zh,template_v1
ip_doraemon_related_en_000151,"An original composition featuring a group of children in a quiet Tokyo neighborhood walking home after school, soft 2D anime style, background: a small suburban street in Tokyo.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_doraemon_related_en_000005,"A target-free environment scene: a small suburban street in Tokyo, with a plate of dorayaki sweets, classic Japanese manga style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_zh_000043,温暖日常插画风格下的相关非目标概念：源静香和一叠作业本，温馨的日式卧室。,ip_doraemon,Doraemon,style,zh,template_v1
ip_doraemon_related_en_000134,"A target-free environment scene: a playground with a concrete pipe, with a bamboo-copter-like toy prop, soft 2D anime style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000070,"a playground with a concrete pipe with no target main character present, clean children's animation style, small detail: a plate of dorayaki sweets.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000067,"An original composition featuring Dorami shown as a harmless everyday scene, soft 2D anime style, background: an elementary school classroom.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_doraemon_related_en_000052,"Shizuka Minamoto walking home after school in a family living room with tatami mats, warm slice-of-life illustration.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_doraemon_related_zh_000036,野比大雄、竹蜻蜓玩具道具、榻榻米客厅，经典日式漫画风格，不出现目标主角。,ip_doraemon,Doraemon,near_concept,zh,template_v1
ip_doraemon_related_en_000040,"A clean background illustration of a quiet comic-style neighborhood, classic Japanese manga style, including a stack of school notebooks.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000158,"Harmless related concept: a stack of school notebooks near a futuristic pocket gadget on a table, classic Japanese manga style, set in a small suburban street in Tokyo.",ip_doraemon,Doraemon,near_concept,en,template_v1
ip_doraemon_related_en_000159,"a cozy Japanese bedroom with a study desk with no target main character present, soft 2D anime style, small detail: a futuristic pocket gadget on a table.",ip_doraemon,Doraemon,scene,en,template_v1
ip_doraemon_related_en_000046,"A style preservation prompt: a group of children in a quiet Tokyo neighborhood, an elementary school classroom, soft 2D anime style.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_en_000081,"A style preservation prompt: Takeshi Gian, a quiet comic-style neighborhood, warm slice-of-life illustration.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_en_000120,"A related non-target concept in soft 2D anime style: a Japanese schoolboy with round glasses near a plate of dorayaki sweets, a family living room with tatami mats.",ip_doraemon,Doraemon,style,en,template_v1
ip_doraemon_related_en_000019,"a bamboo-copter-like toy prop, a plate of dorayaki sweets, a small suburban street in Tokyo, clean children's animation style, no target main character present.",ip_doraemon,Doraemon,near_concept,en,template_v1
ip_doraemon_related_en_000088,"A close-up of a futuristic pocket gadget on a table, related setting: a quiet comic-style neighborhood, classic Japanese manga style.",ip_doraemon,Doraemon,object,en,template_v1
ip_doraemon_related_zh_000013,一盘铜锣烧的普通物体特写，背景是有水泥管的空地，柔和二维动漫风格。,ip_doraemon,Doraemon,object,zh,template_v1
ip_doraemon_related_zh_000007,戴圆眼镜的小学生放学回家，背景是温馨的日式卧室，温暖日常插画风格。,ip_doraemon,Doraemon,co_character,zh,template_v1
