id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_snow_white_related_zh_000045,满是宝石的童话矿洞，没有目标主角，经典故事书插画，细节是木桌上的红苹果。,ip_snow_white,Snow White,scene,zh,template_v1
ip_snow_white_related_zh_000007,满是宝石的童话矿洞中的邪恶王后，旁边有七张小木床，温和森林奇幻风格。,ip_snow_white,Snow White,co_character,zh,template_v1
ip_snow_white_related_en_000047,"A character portrait of a forest huntsman with a basket of forest flowers, soft vintage animation style, set in a woodland clearing with friendly birds.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000098,"A style preservation prompt: the Evil Queen, a storybook village near the forest, fairytale watercolor style.",ip_snow_white,Snow White,style,en,template_v1
ip_snow_white_related_zh_000046,邪恶王后被林间动物围绕，使用童话水彩风格，背景是黑暗城堡镜厅。,ip_snow_white,Snow White,style,zh,template_v1
ip_snow_white_related_en_000099,"a fairytale prince surrounded by woodland animals in an enchanted forest path, soft vintage animation style.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000112,"A target-free environment scene: a storybook village near the forest, with a magic mirror in a golden frame, soft vintage animation style.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_en_000054,"Harmless related concept: a woodland deer near a red apple on a wooden table, old animated feature style, set in a fairytale mine full of gems.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_en_000119,"a woodland deer working in the gem mine in an enchanted forest path, fairytale watercolor style.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000108,"a forest huntsman surrounded by woodland animals, rendered in gentle woodland fantasy style, with a fairytale mine full of gems in the background.",ip_snow_white,Snow White,style,en,template_v1
ip_snow_white_related_en_000133,"A style preservation prompt: a group of seven small miners, a woodland clearing with friendly birds, fairytale watercolor style.",ip_snow_white,Snow White,style,en,template_v1
ip_snow_white_related_en_000104,"An original composition featuring the Evil Queen posing as a harmless character portrait, gentle woodland fantasy style, background: a tiny cottage in the woods.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_zh_000053,金色边框魔镜的普通物体特写，背景是满是宝石的童话矿洞，经典故事书插画。,ip_snow_white,Snow White,object,zh,template_v1
ip_snow_white_related_en_000095,"a miner's lantern beside sparkling gems placed inside a tiny cottage in the woods, fairytale watercolor style, no target main character present.",ip_snow_white,Snow White,object,en,template_v1
ip_snow_white_related_en_000060,"A target-free environment scene: a dark castle mirror room, with a miner's lantern beside sparkling gems, fairytale watercolor style.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_en_000070,"a red apple on a wooden table placed inside a woodland clearing with friendly birds, old animated feature style, no target main character present.",ip_snow_white,Snow White,object,en,template_v1
ip_snow_white_related_zh_000017,原创构图：七个小矿工作为原创童话场景，童话水彩风格，场景为魔法森林小路。,ip_snow_white,Snow White,co_character,zh,template_v1
ip_snow_white_related_zh_000047,提篮子的老巫婆作为原创童话场景，背景是魔法森林小路，童话水彩风格。,ip_snow_white,Snow White,co_character,zh,template_v1
ip_snow_white_related_en_000116,"A non-target near-concept scene with a magic mirror in a golden frame and a miner's lantern beside sparkling gems, soft vintage animation style.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_en_000166,"A non-target near-concept scene with a cottage full of tiny beds and seven tiny wooden beds, old animated feature style.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_en_000165,"a miner's lantern beside sparkling gems placed inside a fairytale mine full of gems, classic storybook illustration, no target main character present.",ip_snow_white,Snow White,object,en,template_v1
ip_snow_white_related_zh_000024,七张小木床、天鹅绒上的宝石王冠、森林里的小木屋，童话水彩风格，不出现目标主角。,ip_snow_white,Snow White,near_concept,zh,template_v1
ip_snow_white_related_en_000079,"a woodland deer shown as an original fairytale scene in a storybook village near the forest, old animated feature style.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000050,"a storybook village near the forest with no target main character present, soft vintage animation style, small detail: a red apple on a wooden table.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_en_000017,"A character portrait of a woodland deer with seven tiny wooden beds, classic storybook illustration, set in an enchanted forest path.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000076,"A non-target near-concept scene with a miner's lantern beside sparkling gems and a magic mirror in a golden frame, classic storybook illustration.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_en_000110,"a magic mirror in a golden frame placed inside a tiny cottage in the woods, gentle woodland fantasy style, no target main character present.",ip_snow_white,Snow White,object,en,template_v1
ip_snow_white_related_en_000049,"Harmless related concept: a cottage full of tiny beds near a magic mirror in a golden frame, gentle woodland fantasy style, set in a tiny cottage in the woods.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_en_000019,"a woodland deer, a miner's lantern beside sparkling gems, a storybook village near the forest, classic storybook illustration, no target main character present.",ip_snow_white,Snow White,near_concept,en,template_v1
ip_snow_white_related_zh_000019,木桌上的红苹果、木桌上的红苹果、魔法森林小路，柔和复古动画风格，不出现目标主角。,ip_snow_white,Snow White,near_concept,zh,template_v1
ip_snow_white_related_en_000162,"a tiny cottage in the woods with no target main character present, fairytale watercolor style, small detail: a jeweled crown on velvet cloth.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_en_000006,"a cottage full of tiny beds surrounded by woodland animals, rendered in gentle woodland fantasy style, with a storybook village near the forest in the background.",ip_snow_white,Snow White,style,en,template_v1
ip_snow_white_related_en_000160,"A harmless object study of a red apple on a wooden table in a woodland clearing with friendly birds, gentle woodland fantasy style.",ip_snow_white,Snow White,object,en,template_v1
ip_snow_white_related_zh_000074,原创构图：七个小矿工在宝石矿洞工作，柔和复古动画风格，场景为有友好小鸟的林间空地。,ip_snow_white,Snow White,co_character,zh,template_v1
ip_snow_white_related_en_000142,"A clean background illustration of a tiny cottage in the woods, classic storybook illustration, including seven tiny wooden beds.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_en_000000,"A clean background illustration of a fairytale mine full of gems, old animated feature style, including a basket of forest flowers.",ip_snow_white,Snow White,scene,en,template_v1
ip_snow_white_related_zh_000003,七张小木床放在黑暗城堡镜厅中，温和森林奇幻风格，不出现目标主角。,ip_snow_white,Snow White,object,zh,template_v1
ip_snow_white_related_en_000109,"An original composition featuring a forest huntsman working in the gem mine, old animated feature style, background: an enchanted forest path.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000089,"a group of seven small miners shown as an original fairytale scene in a tiny cottage in the woods, soft vintage animation style.",ip_snow_white,Snow White,co_character,en,template_v1
