id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_spongebob_related_en_000027,"Sandy Cheeks having a normal day in a sandy dome home under the ocean, colorful comic panel style.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_spongebob_related_en_000035,"a boat school in an underwater town with no target main character present, storybook underwater illustration, small detail: a red crab-shaped cash register.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_spongebob_related_en_000124,"Mrs. Puff, a cartoon boat car, a sandy dome home under the ocean, bright 2D cartoon style, no target main character present.",ip_spongebob,SpongeBob SquarePants,near_concept,en,template_v1
ip_spongebob_related_en_000065,"A target-free environment scene: a boat school in an underwater town, with a glass dome with a small tree inside, bright 2D cartoon style.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_spongebob_related_en_000049,"Plankton, a glass dome with a small tree inside, a tiny fast food restaurant under the sea, storybook underwater illustration, no target main character present.",ip_spongebob,SpongeBob SquarePants,near_concept,en,template_v1
ip_spongebob_related_zh_000012,小蜗作为角色肖像，背景是海底快餐店，儿童动画风格。,ip_spongebob,SpongeBob SquarePants,co_character,zh,template_v1
ip_spongebob_related_zh_000001,明亮二维卡通风格下的相关非目标概念：小蜗和卡通船车，海底驾校。,ip_spongebob,SpongeBob SquarePants,style,zh,template_v1
ip_spongebob_related_en_000072,"Patrick Star walking through the background in a pineapple-shaped house without any characters, clean animation cel style.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_spongebob_related_en_000090,"a coral reef street with no target main character present, clean animation cel style, small detail: a cartoon boat car.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_spongebob_related_en_000096,"Squidward Tentacles drawn as an original fan-art-like composition, rendered in storybook underwater illustration, with a tiny fast food restaurant under the sea in the background.",ip_spongebob,SpongeBob SquarePants,style,en,template_v1
ip_spongebob_related_zh_000043,彩色漫画分镜风格下的相关非目标概念：痞老板和红色螃蟹造型收银台，色彩鲜艳的海底小镇。,ip_spongebob,SpongeBob SquarePants,style,zh,template_v1
ip_spongebob_related_en_000064,"A non-target near-concept scene with a pink starfish plush toy and a clarinet on a music stand, bright 2D cartoon style.",ip_spongebob,SpongeBob SquarePants,near_concept,en,template_v1
ip_spongebob_related_en_000118,"A harmless object study of a cartoon boat car in a boat school in an underwater town, storybook underwater illustration.",ip_spongebob,SpongeBob SquarePants,object,en,template_v1
ip_spongebob_related_en_000169,"A character portrait of Plankton with a tiny snail food bowl, playful children cartoon style, set in a tiny fast food restaurant under the sea.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_spongebob_related_en_000074,"Harmless related concept: a pink starfish plush toy near a tiny snail food bowl, clean animation cel style, set in a sandy dome home under the ocean.",ip_spongebob,SpongeBob SquarePants,near_concept,en,template_v1
ip_spongebob_related_en_000144,"An original composition featuring Mr. Krabs posing for a character portrait, storybook underwater illustration, background: a colorful underwater neighborhood.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_spongebob_related_en_000115,"a pineapple-shaped house without any characters with no target main character present, bright 2D cartoon style, small detail: a cartoon boat car.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_spongebob_related_en_000085,"A target-free environment scene: a tiny fast food restaurant under the sea, with a glass dome with a small tree inside, colorful comic panel style.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_spongebob_related_zh_000008,需要保护的相关物体：玻璃圆顶小屋，相关场景为菠萝形状的空房子，故事书插画风格。,ip_spongebob,SpongeBob SquarePants,object,zh,template_v1
ip_spongebob_related_en_000101,"A related non-target concept in playful children cartoon style: Sandy Cheeks near a clarinet on a music stand, a pineapple-shaped house without any characters.",ip_spongebob,SpongeBob SquarePants,style,en,template_v1
ip_spongebob_related_en_000154,"Patrick Star having a normal day in a boat school in an underwater town, colorful comic panel style.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_spongebob_related_zh_000052,不出现目标主角的环境场景：海底驾校，包含粉色海星玩偶，明亮二维卡通风格。,ip_spongebob,SpongeBob SquarePants,scene,zh,template_v1
ip_spongebob_related_en_000078,"A harmless object study of a cartoon boat car in a colorful underwater neighborhood, bright 2D cartoon style.",ip_spongebob,SpongeBob SquarePants,object,en,template_v1
