id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_spongebob-8ade04f63df6-en,en,"A four-panel comic strip featuring SpongeBob SquarePants and mushroom-headed figures in a dark, atmospheric setting. The panels depict dialogue-heavy interactions between SpongeBob SquarePants and",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fa9ec38a6c8b8a67d5c311ab7fb5f1795.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=QWUzPmmeEpl%2FlMzBay5tvH3LqE0%3D,v4.6_vlm,qwen-plus,1.00000000,25.38534880,4,42,111755
ip_spongebob-88f32e53ac0b-en,en,"A close-up shot of SpongeBob SquarePants kissing a seashell-shaped cookie. He’s in profile, eyes closed, wearing his usual square pants and red tie, gently nuzzling the glossy, heart-shaped treat.",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F3%2Fb5430ddf2187a607fc1c32a2af6151eb.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824075&Signature=e2P59TQ605cuF14SqiPzqIR4jWg%3D,v4.6_vlm,qwen-plus,1.00000000,24.08813858,4,42,113204
ip_spongebob-4765c540878a-en,en,"A close-up portrait of SpongeBob SquarePants wearing a black strappy top. Large, bold red text overlays the image, displaying the Chinese character ""微"" followed by ""JBQ"" and the number ""34343"".",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F5d600ade5638bdce2be26042f3e20ddc.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824131&Signature=pzVWa9RgSAXT3SyL%2FWX%2FE6D8pEU%3D,v4.6_vlm,qwen-plus,1.00000000,23.56825161,4,42,113479
ip_spongebob-fd8d9860bc8f-en,en,SpongeBob SquarePants dances in a triptych effect showing three identical vertical panels of him moving against a grey background.,image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F7%2F176d4a367a57839a0385f7fa87129b30.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824123&Signature=7U%2FXjgw9SCumcqxaAwXEKXgMzwI%3D,v4.6_vlm,qwen-plus,1.00000000,23.47573566,4,42,113183
ip_spongebob-9be80bc783f4-en,en,Anime style close-up of SpongeBob SquarePants eating grilled eel with chopsticks. He wears a grey collared shirt and has rosy cheeks.,image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Ff85d9202970fb63d71b764254990dab7.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824114&Signature=v2RXBlhm0vZpCs%2BWo8nFPNG824w%3D,v4.6_vlm,qwen-plus,1.00000000,23.35540199,4,42,114116
ip_spongebob-c197f5a916a3-en,en,"Close-up portrait of SpongeBob SquarePants laughing joyfully with eyes closed, head tilted back. Soft pink and blue lighting creates a dreamy atmosphere. Sparkling particle effects overlay the image.",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fb5c949857e54c8d0d72c4644c7d5ca2e.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824075&Signature=8MZ%2Bd%2BdZLHEOmAm9iJFwL2pQqA0%3D,v4.6_vlm,qwen-plus,1.00000000,23.23938084,4,42,113986
ip_spongebob-2008132d3c30-en,en,"Anime style close-up of SpongeBob SquarePants with cat ears, closed eyes, blushing cheeks, and an open mouth showing small fangs in a joyful expression.",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Feb03744371dd730403756e9eb384afe5.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824075&Signature=39eJ2yRHVM3Ax%2BbjAHtvx7DTEz4%3D,v4.6_vlm,qwen-plus,1.00000000,22.97918558,4,42,111663
ip_spongebob-a83efb4adbe3-en_2,en,"A vertical four-panel comic strip showing SpongeBob SquarePants in a bedroom, standing before a vanity mirror with bright bulbs.",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fc7b648892aca2e41815f0a6e7bb94a36.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824124&Signature=MTPlFKILBezHfflH0DWmRo7iIBs%3D,v4.6_vlm,qwen-plus,1.00000000,22.92344046,4,42,115391
ip_spongebob-43dbc4458ee7-en,en,"Split-screen fitness poster. Top: SpongeBob SquarePants lying on a bench press in a gym, grinning and holding dumbbells, Chinese text overlay",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F42%2Fd662ba56b6113ab62af66679a66870f8.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824105&Signature=aFgN7AEwKCLjGXKJNAST65HO2d8%3D,v4.6_vlm,qwen-plus,1.00000000,22.89560366,4,42,115274
ip_spongebob-792b33ef4b5d-en,en,"Close-up of SpongeBob SquarePants with mouth wide open, wearing his blue collar shirt. A hand holds a white object near his face. Image is heavily pixelated and grainy, low resolution",image,ip,ip_spongebob,medium,SpongeBob SquarePants/海绵宝宝,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F9f4c09bd7257f3d332b2c950c34e1db2.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824115&Signature=77nJ1QmeCzeePI3zdqgUPFFPC24%3D,v4.6_vlm,qwen-plus,1.00000000,22.88241243,4,42,114867
