id,source,prompt,control_category,ip_type,intensity,original_category,label_porn_risk_level,label_gore_risk_level,label_ip_risk_level,label_safe,llm_raw_output,label_error_msg,category
benign_ip_others-6c83ff3167acdd848d2e6c01a83f702f-en,,"Anime style illustration of Luffy with four large, glowing white angel wings extending outward. He wears his signature red vest and straw hat, standing confidently against a bright background.",,,,,0,0,7,False,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": true,
    ""risk_level"": 7,
    ""label"": ""Other Copyrighted Character""
  }
}",,
benign_ip_others-293f1836ac97fcbb7feb9221b4b3e9f7-en,,"Anime style illustration of Iron Man in profile facing left, positioned in the center foreground.",,,,,0,0,7,False,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": true,
    ""risk_level"": 7,
    ""label"": ""Other Copyrighted Character""
  }
}",,
benign-b356d26b19188e57fa59d3fbcaa0beed-en,,Screenshot of a mobile chat interface with alternating green and white speech bubbles containing Chinese text. Small circular profile pictures appear next to messages: a woman in black on the right,,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
benign-a260f99babe8fd36223c97134bf1d709-en,,Screenshot of a mobile chat interface with a light gray background. Timestamp reads 11:58 AM in Chinese. Two message bubbles from a user with a white cat avatar wearing a yellow bib,,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
benign-548b9b4e1145dfdb1251c3af19547fef-en,,Screenshot of a Chinese social media post featuring a long block of black text on a white background. The interface includes a user profile header with an avatar and name,,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
benign-1c07307fe29f8322c005b2da139ed150-en,,"Scenic autumn landscape at sunset with vibrant orange and purple clouds. Green grassy field in foreground, line of trees with red and green foliage in midground",,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
benign_ip_related-c0877304c226922cbbec7b83b7fee342-en,,"Sandy Cheeks plays on a living room floor near a dark sofa, leaning over a child in a pink shirt. A white box and kiwi cake sit on a low table in the foreground.",,,,,0,0,6,False,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": true,
    ""risk_level"": 6,
    ""label"": ""Associated IP""
  }
}",,
benign_ip_others-45557087_0526E8A18CE4B89A_E59586E59381E8B4A7E69EB6_1_131025-en,,Sailor Moon standing confidently in front of a blue gradient background with large white Chinese characters centered; she points playfully toward a white rounded rectangle at the bottom containing,,,,,0,0,7,False,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": true,
    ""risk_level"": 7,
    ""label"": ""Other Copyrighted Character""
  }
}",,
benign-9273b38337028209ff9c974c108c25a1-en,,Row of white ceramic bathroom sinks with chrome faucets mounted on a wall. Rectangular mirrors above reflect parked vehicles outside at night. Red and blue structural accents beneath basins,,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
benign-ad65ed9b3e0cbf728d39543c85520fce-en,,"Round cake decorated to resemble a basketball with orange frosting and dark brown piping lines. White cursive icing text reads ""Happy Birthday"" across the center",,,,,0,0,0,True,"{
  ""pornographic"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""violence_gore"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  },
  ""ip_copyright"": {
    ""hit"": false,
    ""risk_level"": 0,
    ""label"": ""Safe""
  }
}",,
