id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_elsa-63870e5362bb-en,en,Anime comic panel featuring Elsa with a close-up of her hand holding a needle and thread.,image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fa527976e00b66585d6de2c8aab093bc9.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824069&Signature=rkI5wd%2FlMF12c9fPjVpnIQS%2BIjE%3D,v4.6_vlm,qwen-plus,1.00000000,21.98035908,3,42,90286
ip_elsa-dfa5cbeccc5e-en,en,"Elsa lies on a blue and white striped pillow, smiling broadly. The scene is a close-up shot from a low angle.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fd06026c78919ea37705c76b7953e9a30.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824124&Signature=7JVUZ32U2I1y48DYUS7hwqJ4Je0%3D,v4.6_vlm,qwen-plus,1.00000000,21.59951305,3,42,91305
ip_elsa-a8fd06d21642-en,en,"Elsa making funny faces at the camera, wearing her iconic ice-blue gown and platinum braid, holding a sparkling snowflake-shaped water bottle.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F27%2Fe6e21835b52feb05fb1e178d71658ed6.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824132&Signature=E%2BjTvDHlSpQxgfw36k5NK7s9Bqg%3D,v4.6_vlm,qwen-plus,1.00000000,21.37932777,3,42,90274
ip_elsa-258bcd9fb762-en,en,"Elsa gripping a black object against a weathered wooden surface, close-up vertical shot, heavily distorted with digital artifacts and pixelation, creating a smeared effect.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F02745bc5bb02ee9b83b42bb94e2521e4.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824129&Signature=hDcxexthnf6nXdnWjccT%2FvJsHYY%3D,v4.6_vlm,qwen-plus,1.00000000,21.21684837,3,42,90302
ip_elsa-a363bedd1423-en,en,"Elsa, eyes wide open in shock or excitement, biting into a large roasted pig head held in her hand.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2Fc2e92a89a983ec4dfdbaab7154ff0260.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824105&Signature=ICweVX2JALA6581pvdyPCxx3Fgw%3D,v4.6_vlm,qwen-plus,1.00000000,21.20260525,3,42,90671
ip_elsa-797a35031017-en,en,"Anime style portrait of Elsa with long platinum braids, wearing her iconic ice-blue gown. She holds a small black cup, one hand gently brushing her hair.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F498b9f1f7e3fd1586bdea179a485d3ae.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824119&Signature=IuQ%2FJO%2FM3OCG0X3DbqJQiN8m8jA%3D,v4.6_vlm,qwen-plus,1.00000000,21.16920280,3,42,91423
ip_elsa-b071a0f70826-en,en,"Anime style portrait of Elsa with her iconic platinum braid, blue gown, and calm expression.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F2408a993e095c379ad034746d12aa900.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824070&Signature=7Zbn0jbwVafYJf1l0FChiz0XQ98%3D,v4.6_vlm,qwen-plus,1.00000000,20.94774723,3,42,91611
ip_elsa-c31de645f464-en,en,"Elsa sitting on a windowsill, lifting her ice-blue gown to reveal her shimmering frost-covered torso. She wears dark shorts and white socks.",image,ip,ip_elsa,medium,Elsa/艾莎,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F29%2F6cbd7e3f8473ac29082446ee46f121f2.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824115&Signature=6%2FWge8JzgjB0HffWfRKMr5K59Hg%3D,v4.6_vlm,qwen-plus,1.00000000,20.83555794,3,42,90952
ip_elsa-4fbbaef14447-en,en,"Elsa in festive birthday mode—high-resolution, highly detailed artwork",image,ip,ip_elsa,na,Elsa,true,,,,,celebrating a birthday party,highly detailed,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.68288088,3,42,181475
ip_elsa-01e9368e6502-en,en,A high-resolution 8k scene: Elsa painting on a canvas in natural outdoor light,image,ip,ip_elsa,na,Elsa,true,,,,,painting on a canvas outdoors,,,llm_rewrite,,v1.3_llm,llm,1.00000000,20.66667604,3,42,182438
