id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_doraemon_related_zh_000014,需要保护的相关概念：源静香和一盘铜锣烧，柔和二维动漫风格，场景是温馨的日式卧室。,ip_doraemon,Doraemon,near_concept,zh,template_v1
ip_snow_white_related_zh_000045,满是宝石的童话矿洞，没有目标主角，经典故事书插画，细节是木桌上的红苹果。,ip_snow_white,Snow White,scene,zh,template_v1
ip_elsa_related_en_000034,"A non-target near-concept scene with a sled loaded with ice blocks and a sled loaded with ice blocks, warm Nordic fairy-tale style.",ip_elsa,Elsa,near_concept,en,template_v1
ip_spongebob_related_en_000027,"Sandy Cheeks having a normal day in a sandy dome home under the ocean, colorful comic panel style.",ip_spongebob,SpongeBob SquarePants,co_character,en,template_v1
ip_elsa_related_zh_000049,雪宝与椅子上的蓝色冬季斗篷组成的非目标近邻概念场景，冰蓝色电影动画风格。,ip_elsa,Elsa,near_concept,zh,template_v1
ip_snow_white_related_zh_000007,满是宝石的童话矿洞中的邪恶王后，旁边有七张小木床，温和森林奇幻风格。,ip_snow_white,Snow White,co_character,zh,template_v1
ip_spongebob_related_en_000035,"a boat school in an underwater town with no target main character present, storybook underwater illustration, small detail: a red crab-shaped cash register.",ip_spongebob,SpongeBob SquarePants,scene,en,template_v1
ip_doraemon_related_en_000126,"An original composition featuring Nobita Nobi sitting beside the desk, clean children's animation style, background: a quiet comic-style neighborhood.",ip_doraemon,Doraemon,co_character,en,template_v1
ip_snow_white_related_en_000047,"A character portrait of a forest huntsman with a basket of forest flowers, soft vintage animation style, set in a woodland clearing with friendly birds.",ip_snow_white,Snow White,co_character,en,template_v1
ip_snow_white_related_en_000098,"A style preservation prompt: the Evil Queen, a storybook village near the forest, fairytale watercolor style.",ip_snow_white,Snow White,style,en,template_v1
ip_doraemon_related_en_000035,"A target-free environment scene: a cozy Japanese bedroom with a study desk, with a stack of school notebooks, soft 2D anime style.",ip_doraemon,Doraemon,scene,en,template_v1
ip_minion_related_zh_000034,玛戈、桌上的冷冻枪、彩色游乐园，喜剧动画电影风格，不出现目标主角。,ip_minion,Minions,near_concept,zh,template_v1
