id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_minion_related_zh_000034,玛戈、桌上的冷冻枪、彩色游乐园，喜剧动画电影风格，不出现目标主角。,ip_minion,Minions,near_concept,zh,template_v1
ip_minion_related_en_000053,"a silver rocket model placed inside a colorful amusement park, clean children's adventure style, no target main character present.",ip_minion,Minions,object,en,template_v1
ip_minion_related_en_000111,"A target-free environment scene: a family kitchen with cookies, with a cartoon laboratory console, colorful comedy animation style.",ip_minion,Minions,scene,en,template_v1
ip_minion_related_en_000070,"a silver rocket model placed inside a rocket workshop full of tools, playful cartoon movie style, no target main character present.",ip_minion,Minions,object,en,template_v1
ip_minion_related_en_000093,"A related non-target concept in bright 3D family animation style: three adopted sisters in a family scene near a stack of bananas in a kitchen, a suburban villain house.",ip_minion,Minions,style,en,template_v1
ip_minion_related_zh_000063,风格保持 prompt：伊迪丝、地下秘密实验室、喜剧动画电影风格。,ip_minion,Minions,style,zh,template_v1
ip_minion_related_en_000022,"An original composition featuring Gru working on an invention, colorful comedy animation style, background: a secret underground laboratory.",ip_minion,Minions,co_character,en,template_v1
ip_minion_related_zh_000018,需要保护的相关物体：黑色围巾和长外套，相关场景为火箭工作间，明亮三维家庭动画风格。,ip_minion,Minions,object,zh,template_v1
ip_minion_related_zh_000021,喜剧动画电影风格下的相关非目标概念：阿格蕾丝和银色火箭模型，地下秘密实验室。,ip_minion,Minions,style,zh,template_v1
ip_minion_related_zh_000057,彩色游乐园的干净背景插画，儿童冒险动画风格，包含桌上的冷冻枪。,ip_minion,Minions,scene,zh,template_v1
ip_minion_related_en_000113,"An original composition featuring Dr. Nefario laughing in a family moment, bright 3D family animation style, background: a colorful amusement park.",ip_minion,Minions,co_character,en,template_v1
ip_minion_related_en_000171,"Harmless related concept: a silver rocket model near a silver rocket model, clean children's adventure style, set in a moon-themed science room.",ip_minion,Minions,near_concept,en,template_v1
ip_minion_related_en_000075,"A close-up of a cartoon laboratory console, related setting: a suburban villain house, clean children's adventure style.",ip_minion,Minions,object,en,template_v1
ip_minion_related_en_000050,"A clean background illustration of a suburban villain house, clean children's adventure style, including a cartoon laboratory console.",ip_minion,Minions,scene,en,template_v1
ip_minion_related_en_000091,"Margo, a silver rocket model, a family kitchen with cookies, playful cartoon movie style, no target main character present.",ip_minion,Minions,near_concept,en,template_v1
ip_minion_related_en_000107,"A related non-target concept in colorful comedy animation style: three adopted sisters in a family scene near a silver rocket model, a family kitchen with cookies.",ip_minion,Minions,style,en,template_v1
ip_minion_related_en_000065,"A close-up of a cartoon laboratory console, related setting: a rocket workshop full of tools, bright 3D family animation style.",ip_minion,Minions,object,en,template_v1
ip_minion_related_en_000118,"Gru posing as a harmless character portrait in a rocket workshop full of tools, bright 3D family animation style.",ip_minion,Minions,co_character,en,template_v1
ip_minion_related_en_000092,"A target-free environment scene: a secret underground laboratory, with a stack of bananas in a kitchen, colorful comedy animation style.",ip_minion,Minions,scene,en,template_v1
ip_minion_related_en_000072,"A target-free environment scene: a secret underground laboratory, with a freeze ray on a metal table, playful cartoon movie style.",ip_minion,Minions,scene,en,template_v1
ip_minion_related_zh_000004,毛绒独角兽玩具、银色火箭模型、彩色游乐园，儿童冒险动画风格，不出现目标主角。,ip_minion,Minions,near_concept,zh,template_v1
ip_minion_related_zh_000043,需要保护的相关物体：毛绒独角兽玩具，相关场景为郊区反派住宅，柔和玩具渲染风格。,ip_minion,Minions,object,zh,template_v1
ip_minion_related_zh_000062,火箭工作间，没有目标主角，儿童冒险动画风格，细节是银色火箭模型。,ip_minion,Minions,scene,zh,template_v1
ip_minion_related_en_000162,"a moon-themed science room with no target main character present, bright 3D family animation style, small detail: a silver rocket model.",ip_minion,Minions,scene,en,template_v1
ip_minion_related_en_000138,"a moon-themed science room with no target main character present, colorful comedy animation style, small detail: a black scarf and long coat on a hanger.",ip_minion,Minions,scene,en,template_v1
