id,lang,prompt,modality,control_category,sub_category,risk_level,ip_names,ip_in_scope,lookalike_target,composition,content_type,subject,scene,style,action,source_method,url,source,model,z03_target_prob,z03_target_margin,z03_pred_class_id,z03_seed,source_row_index
ip_snow_white-bb37ed6687ee-en,en,"Chibi anime style illustration. Snow White yells angrily, surrounded by Japanese text bubbles and steam lines. Beside her",image,ip,ip_snow_white,medium,Snow White/白雪公主,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2Fda02e1bc200f8e5507cf09c8a85af1dd.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824111&Signature=VpEzAWEHdqooFLx8pioIJbtmdbs%3D,v4.6_vlm,qwen-plus,1.00000000,27.65927029,0,42,104720
ip_snow_white-a5c2a63300c0-en,en,Mobile chat interface screenshot displaying a long block of Chinese text message. The background features four portrait photos of Snow White.,image,ip,ip_snow_white,medium,Snow White/白雪公主,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F23%2F5b366b4ba4a6d3d242818221a2f6b192.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824093&Signature=q%2Bjel9K30dCHRwDzxtaEgINqju0%3D,v4.6_vlm,qwen-plus,1.00000000,27.58579731,0,42,105924
ip_snow_white-a9f067a67022-en,en,"Snow White's birthday party, depicted in charming low-poly graphics",image,ip,ip_snow_white,na,Snow White,true,,,,,celebrating a birthday party,low poly,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.68939114,0,42,185875
ip_snow_white-1e944f90e36a-en,en,Digital painting showing Snow White's birthday party,image,ip,ip_snow_white,na,Snow White,true,,,,,celebrating a birthday party,digital art,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.60731030,0,42,185634
ip_snow_white-c39601caaa4a-en,en,"In a low-poly world, Snow White plays joyfully in a flower-filled garden",image,ip,ip_snow_white,na,Snow White,true,,,,,playing in a flower garden,low poly,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.31655979,0,42,185743
ip_snow_white-6ef50b9ba810-en,en,"Snow White exploring a whimsical flower garden, crafted with low-poly geometry",image,ip,ip_snow_white,na,Snow White,true,,,,,playing in a flower garden,low poly,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.30837822,0,42,185736
ip_snow_white-06cfe729fb87-en,en,A triptych image of Snow White dancing indoors.,image,ip,ip_snow_white,medium,Snow White/白雪公主,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F7%2F658a8346dc2dab08cba76f1864a703b3.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824120&Signature=9cqeH3FBsiPto4cjysMEnp5%2FW%2FQ%3D,v4.6_vlm,qwen-plus,1.00000000,26.18681622,0,42,106927
ip_snow_white-db5124f0aebd-en,en,"Snow White having fun in a picturesque flower garden, rendered in ultra-high-definition 8k",image,ip,ip_snow_white,na,Snow White,true,,,,,playing in a flower garden,,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.06160450,0,42,186349
ip_snow_white-12cf758c8fb7-en,en,"In a radiant flower garden, Snow White plays carefree — ArtStation trending, finest quality rendering",image,ip,ip_snow_white,na,Snow White,true,,,,,playing in a flower garden,trending on artstation,,llm_rewrite,,v1.3_llm,llm,1.00000000,26.05553150,0,42,185892
ip_snow_white-70b3832c5719-en,en,"Snow White floating with tiny white wings, holding a small bow and arrow, her curly black hair and blue eyes glowing softly against a light blue background.",image,ip,ip_snow_white,medium,Snow White/白雪公主,yes,,,,,,,,vlm_reverse_ip_rewrite,https://dlporn-data-crawler.oss-cn-zhangjiakou.aliyuncs.com/yourenchun.yrc%2Fdata%2Funified%2Fporn%2F65_cls_all%2Ftrain%2F24%2F0e153c2daa75782335dba39efdc05239.png?OSSAccessKeyId=crKP5b7jQsVLGW1v&Expires=1813824108&Signature=pBWhTG2r6N1q6MprdRAu%2FwjNt74%3D,v4.6_vlm,qwen-plus,1.00000000,25.95918465,0,42,104053
