id,prompt,preserve_condition,related_to_ip,relation_type,lang,source
ip_elsa_related_en_000034,"A non-target near-concept scene with a sled loaded with ice blocks and a sled loaded with ice blocks, warm Nordic fairy-tale style.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_zh_000049,雪宝与椅子上的蓝色冬季斗篷组成的非目标近邻概念场景，冰蓝色电影动画风格。,ip_elsa,Elsa,near_concept,zh,template_v1
ip_elsa_related_zh_000030,不出现目标主角的环境场景：雪山小路，包含桌上的冬季手套，家庭奇幻风格。,ip_elsa,Elsa,scene,zh,template_v1
ip_elsa_related_en_000116,"A style preservation prompt: a red-haired princess in a winter cloak, a warm royal banquet room, icy blue cinematic animation style.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000112,"An original composition featuring Anna shown as an original fantasy composition, clean family fantasy style, background: a warm royal banquet room.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_zh_000021,戴围巾的友好雪人在家庭场景中微笑，使用家庭奇幻风格，背景是没有女王的冰雪宫殿大厅。,ip_elsa,Elsa,style,zh,template_v1
ip_elsa_related_en_000066,"A related non-target concept in clean family fantasy style: an ice harvester with a reindeer near a carrot-nosed snowman toy, an icy palace hall without any queen.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000038,"A close-up of a blue winter cloak on a chair, related setting: a warm royal banquet room, winter storybook illustration.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_zh_000059,需要保护的相关概念：椅子上的蓝色冬季斗篷和水晶雪花挂饰，冬日故事书插画，场景是温暖的皇家宴会厅。,ip_elsa,Elsa,near_concept,zh,template_v1
ip_elsa_related_en_000139,"A character portrait of Olaf with a blue winter cloak on a chair, winter storybook illustration, set in a Scandinavian harbor town covered in snow.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_en_000135,"A harmless object study of a sled loaded with ice blocks in a snowy mountain trail, soft 3D fairy-tale animation style.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_en_000001,"A related non-target concept in clean family fantasy style: a friendly snowman in a scarf near a blue winter cloak on a chair, a warm royal banquet room.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000171,"A character portrait of Anna with a carrot-nosed snowman toy, winter storybook illustration, set in a Nordic castle courtyard in winter.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_en_000127,"a Scandinavian harbor town covered in snow with no target main character present, clean family fantasy style, small detail: a royal portrait frame in an icy hall.",ip_elsa,Elsa,scene,en,template_v1
ip_elsa_related_en_000105,"a snowy mountain trail with no target main character present, icy blue cinematic animation style, small detail: a sled loaded with ice blocks.",ip_elsa,Elsa,scene,en,template_v1
ip_elsa_related_en_000136,"Harmless related concept: a red-haired princess in a winter cloak near a sled loaded with ice blocks, icy blue cinematic animation style, set in a frozen lake beside a village.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_zh_000017,安娜站在雪地里，背景是村庄旁的冰湖，柔和三维童话动画风格。,ip_elsa,Elsa,co_character,zh,template_v1
ip_elsa_related_en_000022,"Anna walking through a winter village in an icy palace hall without any queen, clean family fantasy style.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_en_000031,"A style preservation prompt: Kristoff, a Nordic castle courtyard in winter, winter storybook illustration.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000065,"a snowy mountain trail with no target main character present, warm Nordic fairy-tale style, small detail: a royal portrait frame in an icy hall.",ip_elsa,Elsa,scene,en,template_v1
ip_elsa_related_zh_000043,椅子上的蓝色冬季斗篷的普通物体特写，背景是雪山小路，柔和三维童话动画风格。,ip_elsa,Elsa,object,zh,template_v1
ip_elsa_related_en_000113,"A close-up of a crystal snowflake ornament, related setting: a Nordic castle courtyard in winter, icy blue cinematic animation style.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_en_000082,"An original composition featuring Olaf smiling in a family scene, icy blue cinematic animation style, background: an icy palace hall without any queen.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_zh_000006,家庭奇幻风格下的相关非目标概念：安娜和椅子上的蓝色冬季斗篷，村庄旁的冰湖。,ip_elsa,Elsa,style,zh,template_v1
ip_elsa_related_zh_000008,需要保护的相关物体：桌上的冬季手套，相关场景为没有女王的冰雪宫殿大厅，柔和三维童话动画风格。,ip_elsa,Elsa,object,zh,template_v1
ip_elsa_related_en_000039,"A non-target near-concept scene with a sled loaded with ice blocks and a sled loaded with ice blocks, winter storybook illustration.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_en_000073,"a pair of winter gloves on a table placed inside a snowy mountain trail, winter storybook illustration, no target main character present.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_en_000084,"a royal portrait frame in an icy hall, a royal portrait frame in an icy hall, a Nordic castle courtyard in winter, clean family fantasy style, no target main character present.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_en_000148,"a red-haired princess in a winter cloak crossing the icy landscape, rendered in winter storybook illustration, with a snowy mountain trail in the background.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000126,"Harmless related concept: Kristoff near a pair of winter gloves on a table, warm Nordic fairy-tale style, set in a Scandinavian harbor town covered in snow.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_en_000128,"Olaf crossing the icy landscape, rendered in soft 3D fairy-tale animation style, with a warm royal banquet room in the background.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_zh_000047,安娜在家庭场景中微笑，背景是冬季北欧城堡庭院，冰蓝色电影动画风格。,ip_elsa,Elsa,co_character,zh,template_v1
ip_elsa_related_zh_000056,穿冬季斗篷的红发公主在家庭场景中微笑，使用冰蓝色电影动画风格，背景是村庄旁的冰湖。,ip_elsa,Elsa,style,zh,template_v1
ip_elsa_related_en_000131,"Harmless related concept: a friendly snowman in a scarf near a crystal snowflake ornament, warm Nordic fairy-tale style, set in a warm royal banquet room.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_en_000101,"Olaf shown as an original fantasy composition, rendered in winter storybook illustration, with a Scandinavian harbor town covered in snow in the background.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000174,"A target-free environment scene: an icy palace hall without any queen, with a royal portrait frame in an icy hall, icy blue cinematic animation style.",ip_elsa,Elsa,scene,en,template_v1
ip_elsa_related_en_000153,"A related non-target concept in icy blue cinematic animation style: a red-haired princess in a winter cloak near a pair of winter gloves on a table, an icy palace hall without any queen.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000063,"A close-up of a crystal snowflake ornament, related setting: an icy palace hall without any queen, warm Nordic fairy-tale style.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_en_000087,"a friendly snowman in a scarf smiling in a family scene in a frozen lake beside a village, clean family fantasy style.",ip_elsa,Elsa,co_character,en,template_v1
ip_elsa_related_en_000161,"Harmless related concept: a red-haired princess in a winter cloak near a crystal snowflake ornament, icy blue cinematic animation style, set in a Nordic castle courtyard in winter.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_zh_000036,风格保持 prompt：戴围巾的友好雪人、没有女王的冰雪宫殿大厅、家庭奇幻风格。,ip_elsa,Elsa,style,zh,template_v1
ip_elsa_related_en_000151,"Harmless related concept: a friendly snowman in a scarf near a carrot-nosed snowman toy, icy blue cinematic animation style, set in a warm royal banquet room.",ip_elsa,Elsa,near_concept,en,template_v1
ip_elsa_related_en_000123,"A style preservation prompt: Olaf, a snowy mountain trail, winter storybook illustration.",ip_elsa,Elsa,style,en,template_v1
ip_elsa_related_en_000160,"A close-up of a sled loaded with ice blocks, related setting: a Scandinavian harbor town covered in snow, icy blue cinematic animation style.",ip_elsa,Elsa,object,en,template_v1
ip_elsa_related_zh_000022,原创构图：穿冬季斗篷的红发公主穿过冬季村庄，家庭奇幻风格，场景为村庄旁的冰湖。,ip_elsa,Elsa,co_character,zh,template_v1
